OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
2024-216S,STARLINK-32599,62048,US,91.44,43,346,344,LARGE,0,11/21/24,
2024-216R,STARLINK-32630,62047,US,91.43,43,346,343,LARGE,0,11/21/24,
2024-216Q,STARLINK-32598,62046,US,91.43,43,346,344,LARGE,0,11/21/24,
2024-216P,STARLINK-32618,62045,US,91.43,43,346,344,LARGE,0,11/21/24,
2024-216N,STARLINK-32577,62044,US,91.42,43,345,343,LARGE,0,11/21/24,
2024-216M,STARLINK-32491,62043,US,91.42,43,345,343,LARGE,0,11/21/24,
2024-216L,STARLINK-32509,62042,US,91.41,43,345,343,LARGE,0,11/21/24,
2024-216K,STARLINK-32456,62041,US,91.41,43,345,342,LARGE,0,11/21/24,
2024-216J,STARLINK-32510,62040,US,91.4,43,344,342,LARGE,0,11/21/24,
2024-216H,STARLINK-32480,62039,US,91.4,43,344,342,LARGE,0,11/21/24,
2024-216G,STARLINK-32477,62038,US,91.4,43,344,342,LARGE,0,11/21/24,
2024-216F,STARLINK-32595,62037,US,91.39,43,344,342,LARGE,0,11/21/24,
2024-216E,STARLINK-32225,62036,US,91.39,43,344,342,LARGE,0,11/21/24,
2024-216D,STARLINK-32592,62035,US,91.39,43,344,342,LARGE,0,11/21/24,
2024-216C,STARLINK-32615,62034,US,91.38,43,343,341,LARGE,0,11/21/24,
2024-216B,STARLINK-32582,62033,US,91.38,43,343,341,LARGE,0,11/21/24,
2024-216A,STARLINK-32637,62032,US,91.38,43,343,341,LARGE,0,11/21/24,
2024-215A,PROGRESS MS-29,62030,CIS,92.89,51.64,421,411,LARGE,0,11/21/24,
2024-214B,FALCON 9 R/B,62029,US,1138.81,27.68,59275,216,,0,11/18/24,
2024-214A,GSAT 20,62028,IND,1436.79,0.08,35813,35787,,0,11/18/24,
2024-213V,STARLINK-32512,62027,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213U,STARLINK-32561,62026,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213T,STARLINK-32493,62025,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213S,STARLINK-32504,62024,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213R,STARLINK-32334,62023,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213Q,STARLINK-32539,62022,US,90.55,53.16,302,301,LARGE,0,11/18/24,
2024-213P,STARLINK-32520,62021,US,91.79,53.16,363,362,LARGE,0,11/18/24,
2024-213N,STARLINK-11378,62020,US,90.71,53.16,310,309,LARGE,0,11/18/24,
2024-213M,STARLINK-11404,62019,US,90.83,53.16,316,315,LARGE,0,11/18/24,
2024-213L,STARLINK-11411,62018,US,91.22,53.16,335,334,LARGE,0,11/18/24,
2024-213K,STARLINK-11343,62017,US,91.15,53.16,331,330,LARGE,0,11/18/24,
2024-213J,STARLINK-11393,62016,US,90.75,53.16,312,311,LARGE,0,11/18/24,
2024-213H,STARLINK-11396,62015,US,90.55,53.16,302,301,LARGE,0,11/18/24,
2024-213G,STARLINK-11385,62014,US,91.07,53.16,327,326,LARGE,0,11/18/24,
2024-213F,STARLINK-11377,62013,US,90.92,53.16,322,317,LARGE,0,11/18/24,
2024-213E,STARLINK-11363,62012,US,90.86,53.16,317,316,LARGE,0,11/18/24,
2024-213D,STARLINK-11330,62011,US,90.98,53.16,323,322,LARGE,0,11/18/24,
2024-213C,STARLINK-11326,62010,US,90.6,53.16,305,303,LARGE,0,11/18/24,
2024-213B,STARLINK-11262,62009,US,91.24,53.16,336,335,LARGE,0,11/18/24,
2024-213A,STARLINK-11433,62008,US,90.55,53.16,302,301,LARGE,0,11/18/24,
2024-212B,FALCON 9 R/B,62007,US,920.79,17.71,49529,419,,0,11/17/24,
2024-212A,OPTUS-X,62006,AUS,1436.09,0.05,35792,35780,,0,11/17/24,
2016-053X,INTELSAT 33E DEB,62005,ITSO,1377.05,0.5,35859,33387,,0,8/24/16,
2016-053W,INTELSAT 33E DEB,62004,ITSO,1403.07,1.52,35968,34307,,0,8/24/16,
2016-053V,INTELSAT 33E DEB,62003,ITSO,1433.5,0.21,35821,35651,,0,8/24/16,
2016-053U,INTELSAT 33E DEB,62002,ITSO,1435.97,0.11,35891,35677,,0,8/24/16,
2016-053T,INTELSAT 33E DEB,62001,ITSO,1434.84,0.43,35943,35581,,0,8/24/16,
2016-053S,INTELSAT 33E DEB,62000,ITSO,1437.89,0.34,35931,35712,,0,8/24/16,
2016-053R,INTELSAT 33E DEB,61999,ITSO,1450.81,0.18,36558,35590,,0,8/24/16,
2016-053Q,INTELSAT 33E DEB,61998,ITSO,1433.71,0.11,35844,35636,MEDIUM,0,8/24/16,
2016-053P,INTELSAT 33E DEB,61997,ITSO,1417.14,0.15,35811,35019,,0,8/24/16,
2016-053N,INTELSAT 33E DEB,61996,ITSO,1431.34,0.39,35869,35518,,0,8/24/16,
2016-053M,INTELSAT 33E DEB,61995,ITSO,1425.26,0.11,35795,35354,,0,8/24/16,
2016-053L,INTELSAT 33E DEB,61994,ITSO,1432.6,0.15,35823,35613,,0,8/24/16,
2016-053K,INTELSAT 33E DEB,61993,ITSO,1422.9,0.2,35873,35182,,0,8/24/16,
2016-053J,INTELSAT 33E DEB,61992,ITSO,1428.72,0.11,35848,35437,,0,8/24/16,
2016-053H,INTELSAT 33E DEB,61991,ITSO,1411.22,0.33,35803,34794,SMALL,0,8/24/16,
2016-053G,INTELSAT 33E DEB,61990,ITSO,1420.44,0.2,36023,34936,,0,8/24/16,
2016-053F,INTELSAT 33E DEB,61989,ITSO,1469.38,1.3,37060,35811,,0,8/24/16,
2016-053E,INTELSAT 33E DEB,61988,ITSO,1442.18,0.38,36154,35657,,0,8/24/16,
2024-211A,TIANZHOU 8,61983,PRC,92.33,41.47,389,388,LARGE,0,11/15/24,
2024-210Z,STARLINK-32560,61982,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210Y,STARLINK-32522,61981,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210X,STARLINK-32517,61980,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210W,STARLINK-32578,61979,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210V,STARLINK-32606,61978,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210U,STARLINK-32607,61977,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210T,STARLINK-32611,61976,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210S,STARLINK-32586,61975,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210R,STARLINK-32593,61974,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210Q,STARLINK-32601,61973,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210P,STARLINK-32612,61972,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210N,STARLINK-32610,61971,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210M,STARLINK-32613,61970,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210L,STARLINK-32450,61969,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210K,STARLINK-32471,61968,US,91.88,43,368,365,LARGE,0,11/14/24,
2024-210J,STARLINK-32518,61967,US,90.53,43,301,299,LARGE,0,11/14/24,
2024-210H,STARLINK-32498,61966,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210G,STARLINK-32514,61965,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210F,STARLINK-32513,61964,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210E,STARLINK-32487,61963,US,91.87,43,367,365,LARGE,0,11/14/24,
2024-210D,STARLINK-32458,61962,US,91.87,43,367,365,LARGE,0,11/14/24,
2024-210C,STARLINK-32452,61961,US,91.87,43,367,365,LARGE,0,11/14/24,
2024-210B,STARLINK-32372,61960,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-210A,STARLINK-32499,61959,US,91.87,43,368,365,LARGE,0,11/14/24,
2024-209V,STARLINK-32566,61958,US,92.62,53.16,404,402,LARGE,0,11/14/24,
2024-209U,STARLINK-32359,61957,US,92.62,53.16,404,402,LARGE,0,11/14/24,
2024-209T,STARLINK-32273,61956,US,92.62,53.16,404,402,LARGE,0,11/14/24,
2024-209S,STARLINK-32583,61955,US,92.62,53.16,403,402,LARGE,0,11/14/24,
2024-209R,STARLINK-32574,61954,US,92.62,53.16,403,402,LARGE,0,11/14/24,
2024-209Q,STARLINK-32585,61953,US,92.62,53.16,403,402,LARGE,0,11/14/24,
2024-209P,STARLINK-32572,61952,US,92.62,53.16,403,402,LARGE,0,11/14/24,
2024-209N,STARLINK-11395,61951,US,91.03,53.16,326,324,LARGE,0,11/14/24,
2024-209M,STARLINK-11423,61950,US,90.92,53.16,320,319,LARGE,0,11/14/24,
2024-209L,STARLINK-11424,61949,US,91.19,53.16,334,332,LARGE,0,11/14/24,
2024-209K,STARLINK-11414,61948,US,91.02,53.16,325,323,LARGE,0,11/14/24,
2024-209J,STARLINK-11390,61947,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209H,STARLINK-11410,61946,US,91.02,53.16,326,324,LARGE,0,11/14/24,
2024-209G,STARLINK-11421,61945,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209F,STARLINK-11422,61944,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209E,STARLINK-11425,61943,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209D,STARLINK-11320,61942,US,91.32,53.16,340,339,LARGE,0,11/14/24,
2024-209C,STARLINK-11353,61941,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209B,STARLINK-11337,61940,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-209A,STARLINK-11407,61939,US,91.33,53.16,340,339,LARGE,0,11/14/24,
2024-208C,CZ-4B R/B,61938,PRC,95.04,98,630,411,LARGE,0,11/13/24,
2024-208B,OBJECT B,61937,PRC,96.72,97.99,617,586,SMALL,0,11/13/24,
2024-208A,HAIYANG 4A,61936,PRC,97.74,98.01,651,649,LARGE,0,11/13/24,
2024-207Z,STARLINK-32500,61935,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207Y,STARLINK-32563,61934,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207X,STARLINK-32361,61933,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207W,STARLINK-32354,61932,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207V,STARLINK-32420,61931,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207U,STARLINK-32567,61930,US,92.15,43,381,379,LARGE,0,11/11/24,
2024-207T,STARLINK-32609,61929,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207S,STARLINK-32620,61928,US,91.43,43,347,342,LARGE,0,11/11/24,
2024-207R,STARLINK-32622,61927,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207Q,STARLINK-32624,61926,US,91.81,43,364,362,LARGE,0,11/11/24,
2024-207P,STARLINK-32536,61925,US,91.81,43,364,362,LARGE,0,11/11/24,
